area	bedrooms	bathrooms	floor	age	distance_to_metro	school_proximity	price
1540.973334	3	3	8	14	4.06	6.11	139.289603
882.9917046	5	1	22	16	3.21	1.32	104.6470534
1154.105423	1	1	18	1	14.17	4.77	96.47013818
1401.994912	2	1	24	16	0.39	6.31	123.2335707
1546.302078	5	2	17	19	14.48	8.5	116.9659594
719.8814372	5	3	27	25	2.32	2.38	92.94440591
1066.199506	1	4	6	8	12.31	8.19	96.61260713
1010.021876	3	4	8	11	4.21	2.43	121.1785635
938.668307	2	3	21	3	5.33	6.8	92.40706839
1906.181696	5	4	25	12	3.33	4.36	184.3398829
1361.992684	3	2	20	3	8.82	1.24	122.7377656
695.6464183	2	2	11	6	5.29	7.17	41.58564188
1567.144779	4	1	6	13	9.9	2.26	139.1364118
2048.862479	4	1	13	26	0.33	1.85	214.6979732
1612.986104	2	1	14	8	1.06	3.65	161.5563003
592.2520136	1	1	14	22	1.58	6.57	42.30631381
1006.306371	2	1	5	0	6.34	2.42	93.81365583
1706.76446	2	4	20	0	12.24	1.92	152.106864
916.9322138	1	4	13	19	13.33	0.2	93.68389955
1377.527771	1	1	1	3	3.75	4.77	145.6315651
1509.853621	3	2	7	0	8.66	4.34	143.8222506
829.2278114	3	4	12	21	11.55	2.42	84.67891836
1176.189858	1	2	22	9	4.4	0.63	115.0151149
300	4	2	5	1	6.19	4.35	53.43344866
790.2449435	4	3	4	26	7.91	7.9	81.2274379
1098.972739	2	3	4	20	2.11	7.18	104.1235522
700.8867272	5	1	24	23	0.49	8.62	84.86663795
1852.964522	2	2	0	14	2.38	0.19	149.2118004
627.9434488	2	4	8	2	9.44	9.67	62.37667135
1023.982205	5	3	5	24	1.2	3.48	102.8606347
1252.296231	1	3	19	22	2.93	9.9	113.6486464
1776.509316	4	2	25	8	5.13	2.6	163.0286724
625.6551395	2	3	29	16	1.26	4.77	55.07546197
1665.265501	5	3	6	20	2.96	3.6	147.9053508
1204.093224	3	4	8	27	13.68	3.62	110.0092243
807.3965396	2	2	4	12	0.39	8.44	73.08415757
1384.84139	4	3	13	2	9.84	7.49	134.6055062
1279.623878	1	2	4	3	5.83	9.92	127.7667107
959.9132491	2	3	7	3	10.12	6.17	95.96488306
1227.920834	2	4	6	10	8.87	4.69	110.7364162
1045.874561	5	2	12	27	3.43	0.99	99.51034494
1245.406938	3	3	12	6	12.72	9.97	116.7422698
1464.85227	3	4	7	25	7.43	5.56	132.0331545
1834.406726	1	3	10	10	12.36	7.03	156.0823912
704.8738005	4	2	27	23	6.15	4.13	51.36969144
2053.21335	1	3	25	10	14.77	5.52	177.4916071
419.1648802	2	2	17	9	11.58	9.43	21.46511428
1139.285962	2	2	24	4	14.49	1.75	96.51327191
1435.326883	3	3	18	12	7.76	2.99	150.022001
1312.396747	4	4	5	28	7.16	1.61	105.7756873
950.9201921	5	1	21	11	11.36	7.94	92.72157735
1116.7511	4	4	1	9	13.22	0.71	112.6604582
1002.799626	2	4	27	6	14.47	0.91	95.84436634
964.2540972	5	3	12	18	4.94	3.06	112.3263337
1539.840839	4	4	22	18	12	5.19	142.7860375
1342.806194	4	4	24	18	3.24	4.12	124.8404556
922.8361619	5	1	27	11	8.23	0.54	101.9919505
1559.83995	2	4	25	19	2.78	9.58	141.1041298
1322.919808	4	1	10	21	5.28	9.53	118.7714459
1525.144848	5	3	0	14	13.98	2.87	165.7996397
1451.851537	2	1	23	4	2.28	7.34	146.9143855
868.4019956	5	2	1	23	9.52	5.83	106.1557272
975.9275839	5	2	29	29	8.94	2.45	100.327151
1498.917442	4	1	16	13	1.9	2.7	164.8267867
1444.148106	2	2	7	11	4.96	4.96	122.5518381
1191.639362	4	3	1	28	8.49	4.25	108.1507835
1246.930953	1	2	5	20	2.89	2.98	104.1010236
1711.065958	1	1	21	10	12.03	8.09	129.0182951
963.3714445	2	3	4	27	14.59	4.87	76.57872974
1418.838952	5	2	15	4	3.3	6.58	150.3227722
1119.122939	4	3	7	15	2.88	1.97	125.3077473
1112.927519	4	1	18	29	6.88	5.38	117.4207521
1639.510741	2	2	15	25	11.24	3.25	118.3265461
1530.16654	2	3	12	17	4.3	5.31	126.4528515
1525.403854	1	3	25	11	0.4	7.83	114.3691527
1722.191523	3	2	19	26	8.16	7.71	136.3955565
1208.401537	2	3	6	26	14.35	3.61	93.12244872
1472.781189	3	3	15	4	5.93	6.97	135.1462707
1075.893297	2	1	22	15	6.36	9.42	80.01398172
1329.666541	5	1	15	11	14.54	6.29	122.284061
1147.942778	5	1	28	22	10.45	1.57	106.172559
1238.798386	1	1	11	1	10.82	6.83	94.30852251
1438.06281	1	1	13	29	8.48	1.14	113.9675824
872.7117267	3	1	23	28	14.62	8.73	58.55698006
2036.95491	2	2	17	5	10.36	5.21	186.4216737
797.5930474	4	1	26	22	13.44	3.91	69.91516925
714.3245549	1	3	27	20	10.52	0.66	59.49432024
1663.244349	4	2	17	24	11.05	3.87	148.3189709
1516.665078	4	3	15	29	4.43	9.04	118.227144
1449.647927	2	1	19	3	4.62	0.31	148.8153636
1451.338204	3	1	15	29	11.77	4.8	124.4920535
1195.101291	2	3	12	29	4.52	9.32	94.29741936
841.0982514	1	3	25	12	8.49	4.01	65.58529501
1230.321823	4	3	28	9	3.82	4.34	119.7697885
929.1353154	2	4	8	16	12.27	5.83	69.84336121
1590.047893	2	4	25	13	1.75	4.68	134.892472
1141.177047	2	4	27	23	12.46	1.77	86.00208399
869.8011213	1	4	8	14	9.08	0.28	56.99296862
1071.445663	3	2	12	7	2.88	6.14	106.2115517
1365.172582	2	1	28	22	8.18	9.22	107.6562412
974.5101789	1	3	3	23	4.31	1.15	102.1795782
871.1118418	4	1	8	17	4.92	2.19	101.4037908
1297.474885	5	3	14	2	5.34	3.77	135.034048
1297.986628	1	1	13	24	1.04	8.11	104.6263742
997.2227299	5	2	18	16	14.79	2.77	108.8447407
1011.584678	2	4	11	23	0.57	8.83	94.19374888
1292.819975	2	1	20	23	9.97	0.64	109.1554761
620.7662634	1	3	25	6	5.63	9.42	55.30985944
637.0144902	5	1	24	12	9.73	5.65	72.15753977
912.6223115	2	2	5	29	5.41	6.62	78.55868312
1114.621139	4	2	2	26	10.14	3.74	98.52047388
1324.363026	3	1	25	15	10.97	7.84	122.67214
1790.142487	3	4	24	4	10.39	1.75	160.7003218
1543.063849	2	3	21	3	1.8	0.58	154.4745058
1136.024588	5	2	19	25	9.89	4.02	127.1329672
1192.393517	2	2	15	9	4.27	8.55	113.0404675
798.9882541	5	1	29	12	0.53	7.57	86.26184725
1192.594746	4	2	19	9	6.28	5.22	123.6707376
1084.536544	5	2	23	13	6.56	5.76	138.1031933
1329.087424	2	3	22	25	7.06	1.39	118.6352662
869.1076226	4	4	16	21	10.6	8.42	94.50881728
1407.738606	1	3	15	11	4.7	7.89	124.2189133
1813.095565	3	4	5	26	4.8	6.6	165.7621562
1156.495941	2	3	7	0	1	4.72	120.7611231
1360.684689	2	1	18	28	10.33	9.65	92.55832973
1476.057597	2	2	29	20	8.56	8.8	125.5121864
1039.511811	4	4	24	29	5.31	6.48	91.87480029
1289.636993	1	1	25	19	10.61	3.78	97.790558
1205.03696	5	2	1	19	8.11	6.22	137.3119462
1239.070439	1	2	13	6	7.09	5.8	108.2579786
890.7960865	4	2	21	8	7.72	4	86.56726987
1209.80407	2	3	11	7	9.58	3.14	115.6851816
1399.199316	3	1	16	26	9.93	4.13	111.1801252
1780.457443	2	1	27	12	4.41	5.78	155.606709
1583.70833	5	2	26	13	2.2	4.34	148.3191867
2061.272983	3	4	14	11	2.43	2.71	204.1145888
893.0609748	2	1	17	7	9.63	7.63	79.53127143
1548.928255	3	3	15	20	13.11	5.36	122.8752729
1273.336802	1	4	12	21	6.2	0.77	118.9081734
2075.921173	4	4	20	17	2.63	3.75	217.7694689
876.6806859	2	4	16	15	11.37	8.86	70.94371401
864.1112631	5	4	7	28	12.5	7.58	93.64118678
960.2429418	1	1	0	10	13.22	3.3	80.49478195
350.4417103	2	2	28	15	9.14	9.39	37.08832425
989.6979913	1	4	24	13	12.92	0.86	97.48642954
896.3469354	5	3	25	2	0.33	9.62	108.845743
1260.157515	2	3	26	20	1.7	2.53	122.2719528
1336.70239	5	2	2	1	1.48	0.19	151.4907814
1950.468336	3	1	15	2	10.72	4.39	163.104151
1580.169535	5	2	27	3	1.14	3.65	171.2135378
969.2385377	3	4	1	21	7.5	5.44	92.06266481
840.6341315	2	1	14	4	7.14	7.99	96.59291462
1396.767669	3	1	0	9	4.73	8.44	122.7348177
671.9067172	2	4	8	19	13.07	4.07	49.10945661
1932.583506	2	3	15	28	2.64	4.36	179.1548428
1671.776048	4	4	3	1	5.35	1.57	165.1236233
1012.329739	2	2	11	11	11.64	0.57	79.92945957
514.7461884	3	4	0	26	0.55	6.45	68.23497465
1741.54895	4	3	0	4	10.13	0.74	181.9008596
1154.184062	4	4	6	4	12.26	7.36	124.1082026
1695.126525	2	2	17	26	13.99	5.44	126.7526531
562.2289365	5	2	22	22	13.16	2.07	63.81590413
960.2499908	5	3	27	0	4.86	5.44	112.7622829
1202.09748	4	2	22	3	8.84	1.91	140.1403475
1218.792238	2	2	14	26	1.25	4.44	106.0783167
1019.973811	5	4	25	20	3.94	8.02	113.4438855
1449.139973	2	1	29	23	1.5	4.67	128.5876805
772.9518282	2	2	24	11	4.8	1.57	68.71797569
1143.048206	4	2	12	11	13.14	7.27	103.4306848
1248.118253	4	3	15	15	5.27	1.95	126.699443
1405.775534	1	3	6	23	8.47	7.41	127.6384189
1484.645951	5	4	15	16	6.56	4.85	152.9710766
750.1431633	5	4	12	20	6.94	4.59	86.22822858
586.3543317	5	2	13	9	14.55	8.53	62.6731609
1711.070729	3	1	16	16	4.51	7.12	150.108065
1332.925605	2	1	11	16	9.45	0.43	114.5609109
900.6053854	4	4	28	17	6.36	3.03	109.7667285
1820.46079	5	3	23	1	1.01	8.72	195.7359245
1246.269854	1	2	23	24	7.39	0.28	94.70256071
1671.718874	5	2	19	3	12.22	5.5	169.8531066
1227.007393	2	1	12	18	1.57	7.31	116.942066
2024.29917	2	4	23	10	1.14	6.26	187.0406828
1902.136337	4	1	19	16	2.39	7.63	158.4592652
1100.414341	3	1	14	11	11.49	7.28	98.04757207
1588.62838	4	4	23	1	10.89	6.95	151.4228456
1458.15038	5	3	20	5	8.52	8.23	151.8928534
1747.452623	1	2	3	8	7.08	6.49	154.5742438
814.0306158	4	3	21	4	13.34	4.08	101.0412055
1474.420584	3	4	1	19	11.52	4.77	122.2017697
1623.369795	4	4	27	28	12.2	7.2	163.853256
496.5042054	2	2	17	20	12.22	8.78	47.9852097
726.6965949	5	3	1	8	9.68	2.79	96.43023605
384.3071289	5	2	24	27	6.92	3.49	71.31265844
1092.237266	5	1	14	28	12.98	9.31	96.53335762
1487.016902	5	1	29	22	13.9	5.83	139.953824
1800.942821	5	1	25	7	0.45	1.87	183.2371397
1229.637912	5	3	18	19	0.87	6.67	139.899222
1851.446218	1	1	14	26	14.39	9.91	144.5357669
647.9594167	3	2	25	7	4.23	8.25	83.25003398
518.6470243	5	3	19	21	13.11	7.48	43.15590903
1177.78092	3	2	9	20	5.89	2.16	107.2882973
1353.62618	5	4	27	28	1.87	8.77	148.7481161
1186.922101	4	3	23	27	1.3	5.31	124.6271303
373.02316	5	2	19	22	2.43	8.9	54.3115624
1164.351984	2	2	10	5	3.82	3.37	119.4446597
678.2121998	1	3	25	2	7.38	0.71	61.79602828
1467.86902	4	4	9	4	10.55	4.81	153.7863068
1346.639298	4	3	28	8	14.8	2.77	131.4697344
824.0480855	2	1	22	6	6.68	7.18	78.0163466
994.4532331	5	1	4	27	7.82	9.58	90.21914022
776.3145912	1	4	8	3	7.88	6.94	79.90774783
1174.928361	4	2	19	6	8.14	8.88	112.3795375
1582.056928	1	2	18	4	7.81	4.58	134.2897318
805.7095815	4	2	12	10	0.23	7.74	111.8774315
1401.618606	5	3	17	28	0.13	8.45	124.3482121
987.8969527	4	3	16	14	1.56	7.14	92.78806825
882.8508671	4	4	26	1	1.61	5.13	118.9072509
1157.187856	3	1	5	12	10.6	6.3	89.61767242
785.903071	5	2	9	21	3.15	7.04	68.92494149
978.5402779	2	1	1	15	13.43	2.61	90.72189211
720.848843	2	3	23	6	13.94	8.11	78.0526014
1985.890053	5	3	5	7	14.64	9.51	166.1148465
1214.105421	2	3	27	5	14.09	4.71	89.99915143
920.1097968	5	1	27	23	4.15	7.04	82.30902141
1285.591964	2	4	20	6	7.7	7.4	114.688263
1155.06878	3	4	12	17	2.71	6.66	136.4646309
5558.060801	2	3	17	29	12.11	5.52	85.18350195
1445.66668	4	2	6	21	13.34	8.83	131.3999114
1503.003084	5	1	1	24	12.78	4.54	139.4899193
987.799541	1	3	28	27	6.56	0.7	99.3161751
969.6727037	1	1	13	21	11.4	8.46	63.36600877
1089.979321	5	1	4	19	1.55	6.77	113.3204044
300	3	4	17	6	0.7	8.51	53.16000779
593.9235751	2	3	10	2	11.32	1.47	71.1338425
1746.749707	3	4	9	4	6.44	0.4	183.8508161
1857.987085	1	3	10	0	14.93	9.35	174.0271289
1100.385584	5	1	26	14	1.55	1.56	117.0165603
1430.622785	5	4	1	25	12.85	8.12	133.4476296
1324.500062	3	1	14	2	7.25	8.25	131.3271849
2431.552323	3	3	6	7	12.42	7.12	215.5418709
1647.829965	2	2	8	24	12.28	1.4	152.1212791
1148.832963	4	4	4	8	13.75	6.71	111.9600268
817.7838238	4	4	6	14	4.54	8.9	88.88032681
557.4214719	2	1	19	9	14.25	4.31	61.30867853
1281.385454	4	1	1	1	2.36	4.19	136.8573406
897.4597019	1	2	2	19	1.32	4.48	88.53118159
631.0985162	4	4	1	4	6.53	0.91	86.19705376
941.3708463	2	3	20	18	12.44	8.93	87.50864249
767.3807986	4	3	21	12	7.15	8.7	75.19969466
1874.856654	5	4	22	10	12.46	9.98	169.4697932
1552.655903	3	4	18	0	10.97	5.89	121.8541005
1196.810943	1	4	3	21	3.22	7.54	101.0731587
1791.977656	5	2	23	29	14.24	2.11	165.3980087
1230.947323	5	3	19	14	1.01	6.71	134.3599492
855.4863195	2	3	6	25	13.48	6.53	59.29972165
1809.249631	3	1	27	17	4.64	9.02	170.7506176
1415.564017	3	1	21	15	7.55	8.32	124.4142272
785.1015383	1	4	6	8	6.39	9.39	92.5656293
1123.864529	2	1	16	0	2.66	8.7	116.3240402
849.7526986	1	2	18	10	5.44	8.7	77.37423678
646.8801076	4	3	21	8	2.97	0.73	105.9524582
